PG.ProteinAccessions,PG.Genes,PG.ProteinDescriptions,PG.ProteinNames,Control_R1.raw.PG.Quantity,Control_R1.raw.PG.NrOfPrecursorsMeasured,Control_R1.raw.PG.NrOfStrippedSequencesIdentified,Control_R2.raw.PG.Quantity,Control_R2.raw.PG.NrOfPrecursorsMeasured,Control_R2.raw.PG.NrOfStrippedSequencesIdentified,Control_R3.raw.PG.Quantity,Control_R3.raw.PG.NrOfPrecursorsMeasured,Control_R3.raw.PG.NrOfStrippedSequencesIdentified,TreatmentA_R1.raw.PG.Quantity,TreatmentA_R1.raw.PG.NrOfPrecursorsMeasured,TreatmentA_R1.raw.PG.NrOfStrippedSequencesIdentified,TreatmentA_R2.raw.PG.Quantity,TreatmentA_R2.raw.PG.NrOfPrecursorsMeasured,TreatmentA_R2.raw.PG.NrOfStrippedSequencesIdentified,TreatmentA_R3.raw.PG.Quantity,TreatmentA_R3.raw.PG.NrOfPrecursorsMeasured,TreatmentA_R3.raw.PG.NrOfStrippedSequencesIdentified,TreatmentB_R1.raw.PG.Quantity,TreatmentB_R1.raw.PG.NrOfPrecursorsMeasured,TreatmentB_R1.raw.PG.NrOfStrippedSequencesIdentified,TreatmentB_R2.raw.PG.Quantity,TreatmentB_R2.raw.PG.NrOfPrecursorsMeasured,TreatmentB_R2.raw.PG.NrOfStrippedSequencesIdentified,TreatmentB_R3.raw.PG.Quantity,TreatmentB_R3.raw.PG.NrOfPrecursorsMeasured,TreatmentB_R3.raw.PG.NrOfStrippedSequencesIdentified,PG.Log2FC,PG.Pvalue
P00001,GENE0001,Protein description 1,GENE0001_HUMAN,44269.06037838821,9,7,53170.3361767989,9,7,60231.07288561434,9,8,59497.9509435795,9,7,61352.763680616335,11,7,63772.385173582894,10,8,50785.854117349445,11,7,40534.200267806395,9,7,56090.10875464042,9,8,0.2384906199321648,0.14558535923157595
P00002,GENE0002,Protein description 2,GENE0002_HUMAN,,6,4,5459.317784378495,6,3,6040.228026217986,6,4,6123.273911651516,5,4,,5,4,7049.581642729029,4,4,67325.6141965053,6,3,60841.655844909656,5,4,63509.90687106064,4,4,0.1942585857507293,0.2606273909418417
P00003,GENE0003,Protein description 3,GENE0003_HUMAN,98184.86552748088,3,1,118605.67630291378,4,2,124586.20428992025,2,2,8611.819329161232,4,2,9185.420017074452,3,1,7701.892452632347,3,1,106895.06943194101,3,1,114723.86367263737,2,2,98429.84344776739,3,2,-3.7391939311923057,8.267597404109143e-06
P00004,GENE0004,Protein description 4,GENE0004_HUMAN,180277.39217081424,8,4,174552.0747909392,8,4,188434.00913388914,9,4,187482.2019067537,8,4,215606.81706264618,10,5,149391.14620565847,9,5,144583.8734279282,8,5,155603.8139678694,8,5,122298.95767327615,10,4,0.00877190814907891,0.9582610944851048
P00005,GENE0005,Protein description 5,GENE0005_HUMAN,1152.6639622598539,14,6,1128.8911803748642,13,7,1039.0969145742094,14,7,1321.5686424038795,13,7,1062.4366301405964,14,7,935.3469977850854,14,6,1059.2217587669059,15,6,823.0836102724761,13,7,962.6315424478763,15,7,-0.01400229561538957,0.9313052969632405
P00006,GENE0006,Protein description 6,GENE0006_HUMAN,3481.824403666254,5,6,3826.2473886971416,7,6,2960.486369739172,7,5,3618.454861322191,5,6,4741.904025769978,6,5,3778.08170345067,5,5,2792.1030355107396,5,5,2548.4269243808817,6,6,3487.016820706821,5,6,0.23896210881188118,0.21475955987097287
P00007,GENE0007,Protein description 7,GENE0007_HUMAN,33333.57278282066,14,7,38228.942648554446,14,8,58598.12365533208,15,8,45413.788464856756,14,7,41678.48432353253,15,8,48990.02067294754,15,8,40456.47028857758,13,7,36901.21493335884,13,8,34968.96258782471,15,7,0.10414179388529377,0.702994150460404
P00008,GENE0008,Protein description 8,GENE0008_HUMAN,18401.90373206231,3,4,18343.887775913274,3,4,17794.440915969863,5,4,23569.3036194722,4,3,17358.367754752282,3,3,25843.38915826388,5,4,17893.11764360561,3,4,16467.286379579942,5,4,15296.146591997154,5,4,0.2719182145570258,0.19359520004264227
P00009,GENE0009,Protein description 9,GENE0009_HUMAN,,5,4,36497.757438780594,5,4,29140.85685074138,5,5,47193.23719107842,5,5,37647.72558962904,4,5,34192.25558063269,5,4,30364.213396892777,4,4,33070.13895210402,4,4,33972.87002014915,6,4,0.269511920548803,0.29908280580155533
P00010,GENE0010,Protein description 10,GENE0010_HUMAN,6050.202552313165,9,4,6105.829704438003,10,4,6252.572567392072,11,4,75674.49460604196,9,4,54675.164102134164,9,4,52077.33617418035,10,4,7174.863605965439,11,4,5402.878404145826,10,5,7169.879603078613,11,5,3.288504009406452,4.1921970960300836e-05
